id,open,high,low,close,volume
1,100.0,100.0865,99.8002,99.8559,762824
2,99.8559,101.0269,98.9106,100.5579,178244
3,100.5579,100.6158,100.2248,100.3409,123882
4,100.3409,101.7334,99.6536,101.5045,590447
5,101.5045,102.4063,101.4837,101.7508,825237
6,101.7508,101.8968,101.2125,101.6445,239931
7,101.6445,102.6382,101.4562,102.5179,862744
8,102.5179,103.4873,101.9677,102.7661,756758
9,102.7661,103.0695,99.6883,100.1462,846464
10,100.1462,101.7535,99.4721,101.0222,619616
11,101.0222,101.1691,100.8788,100.936,171812
12,100.936,101.7795,100.7066,101.7546,350176
13,101.7546,102.1133,100.8926,101.1276,340280
14,101.1276,102.293,100.8475,101.6269,648217
15,101.6269,103.1063,101.3741,102.3954,990571
16,102.3954,103.6379,101.9038,103.2312,716152
17,103.2312,104.9059,103.2144,104.1841,383907
18,104.1841,104.4756,103.842,104.4373,948618
19,104.4373,105.362,104.1564,105.0573,923092
20,105.0573,105.4365,104.1254,104.2257,321964
21,104.2257,104.3725,102.5816,103.5022,459460
22,103.5022,103.8342,100.7188,102.4197,558573
23,102.4197,102.7651,101.8773,102.6811,812871
24,102.6811,103.7344,102.596,103.5745,443457
25,103.5745,104.8164,102.5979,104.8014,110332
26,104.8014,104.9398,103.6987,104.4425,583273
27,104.4425,105.1542,103.8833,104.2915,508351
28,104.2915,105.959,103.9993,104.9804,337050
29,104.9804,104.9816,103.4906,104.353,368600
30,104.353,104.7932,102.7728,103.2979,237555
31,103.2979,104.0163,103.1879,103.3957,100514
32,103.3957,103.4403,102.0975,102.1861,936188
33,102.1861,104.2034,102.125,103.5518,890208
34,103.5518,104.0748,103.4826,103.8749,537391
35,103.8749,105.7646,103.8489,105.4084,527754
36,105.4084,105.7817,104.766,104.8868,885189
37,104.8868,105.047,103.4913,104.2758,281035
38,104.2758,104.893,102.3692,103.8803,684890
39,103.8803,104.1092,102.5046,102.7631,404277
40,102.7631,103.5622,102.5726,103.2548,298195
41,103.2548,104.8335,103.1115,104.5289,873671
42,104.5289,107.0144,104.3701,106.6817,702080
43,106.6817,107.0601,106.0838,106.8004,525403
44,106.8004,106.9963,105.4012,106.2875,271368
45,106.2875,107.4624,105.79,107.1586,756168
46,107.1586,108.3436,105.8826,107.6768,188576
47,107.6768,107.9383,106.6875,106.9315,271188
48,106.9315,107.4279,106.1879,106.354,350690
49,106.354,107.4898,105.4228,106.3568,595292
50,106.3568,108.8594,105.7622,107.0521,852424
51,107.0521,109.5141,106.8768,109.293,537077
52,109.293,109.4073,108.309,108.8022,152771
53,108.8022,109.8034,106.6137,106.6972,509507
54,106.6972,109.5518,106.1131,108.4401,995880
55,108.4401,108.7134,106.7086,106.9448,971838
56,106.9448,108.1874,106.6465,107.6381,773178
57,107.6381,109.1111,106.6596,108.8783,241689
58,108.8783,109.0765,108.7934,108.8432,267242
